id	rate
38009	51
38011	19
38013	16
38015	430
38017	1513
38019	25
38021	30
38023	7
38025	30
38027	22
38029	38
38031	28
38033	0
38035	838
38037	17
38039	19
38041	8
38043	7
38045	37
38047	9
38049	41
38051	16
38053	75
38055	8
38057	72
38059	154
38061	44
38063	14
38065	17
38067	33
38069	43
38071	110
38073	5
38075	8
38077	43
38079	35
38081	44
38083	6
38085	26
38087	0
38089	163
38091	16
38093	135
38095	23
38097	43
38099	35
38101	431
38103	24
38105	298
39001	196
39003	508
39005	296
39007	452
39009	365
39011	374
39013	188
39015	156
39017	1770
39019	55
39021	186
39023	314
39025	397
39027	324
39029	518
39031	300
39033	303
39035	6211
39037	154
39039	242
39041	666
39043	762
39045	787
39047	132
39049	8455
39051	360
39053	79
39055	597
39057	800
39059	125
39061	3231
39063	392
39065	264
39067	59
39069	160
39071	151
39073	89
39075	1606
39077	337
39079	75
39081	150
39083	350
39085	1027
39087	111
39089	804
39091	347
39093	1600
39095	1749
39097	135
39099	1274
39101	235
39103	804
39105	92
39107	168
39109	288
39111	39
39113	2786
39115	48
39117	118
39119	136
39121	16
39123	273
39125	25
39127	139
39129	147
39131	87
39133	710
39135	149
39137	88
39139	327
39141	306
39143	344
39145	226
39147	344
39149	118
39151	1104
39153	1649
39155	1092
39157	884
39159	154
39161	147
39163	8
39165	580
39167	127
39169	821
39171	255
39173	946
39175	115
40001	37
40003	32
40005	75
40007	24
40009	107
40011	65
40013	457
40015	65
40017	697
40019	281
40021	220
40023	199
40025	25
40027	2223
40029	21
40031	1597
40033	43
40035	95
40037	287
40039	139
40041	291
40043	20
40045	5
40047	452
40049	90
40051	299
40053	36
40055	28
40057	40
40059	31
40061	22
40063	31
40065	365
40067	23
40069	4
40071	240
40073	216
40075	33
40077	65
40079	384
40081	115
40083	342
40085	31
40087	201
40089	127
40091	32
40093	113
40095	172
40097	168
40099	32
40101	428
40103	39
40105	33
40107	76
40109	4240
40111	242
40113	189
40115	140
40117	154
40119	1057
40121	99
40123	357
40125	402
40127	12
40129	28
40131	427
40133	119
40135	142
40137	285
40139	35
40141	110
40143	4181
40145	339
40147	361
40149	39
40151	38
40153	168
41001	240
41003	3241
41005	2311
41007	298
41009	130
41011	495
41013	137
41015	64
41017	1769
41019	1097
41021	31
41023	68
41025	28
41027	316
41029	2114
41031	225
41033	629
41035	589
41037	80
41039	8459
41041	247
41043	1078
41045	217
41047	3016
41049	11
41051	22281
41053	539
41055	6
41057	190
41059	375
41061	222
41063	137
41065	158
41067	4966
41069	9
41071	759
42001	606
42003	7730
42005	302
42007	661
42009	284
42011	2513
42013	851
42015	397
42017	2508
42019	655
42021	1014
42023	2
42025	412
42027	2212
42029	2545
42031	192
42033	379
42035	147
42037	236
42039	675
42041	1144
42043	1854
42045	2470
42047	76
42049	1545
42051	615
42053	32
42055	596
42057	70
42059	53
42061	422
42063	406
42065	173
42067	82
42069	737
42071	5159
42073	374
42075	710
42077	1227
42079	1066
42081	717
42083	170
42085	545
42087	287
42089	529
42091	3177
42093	63
42095	757
42097	708
42099	182
42101	18397
42103	116
42105	81
42107	391
42109	349
42111	327
42113	62
42115	161
42117	161
42119	468
42121	226
42123	243
42125	957
42127	158
42129	1157
42131	90
42133	2601
44001	157
44003	586
44005	863
44007	5419
44009	507
45001	47
45003	795
45005	28
45007	778
45009	42
45011	40
45013	2176
45015	983
45017	316
45019	4068
45021	259
45023	185
45025	330
45027	323
45029	203
45031	429
45033	53
45035	753
45037	87
45039	92
45041	824
45043	539
45045	2158
45047	68
45049	48
45051	2616
45053	118
45055	241
45057	510
45059	210
45061	39
45063	3977
45065	5
45067	159
45069	112
45071	129
45073	357
45075	595
45077	543
45079	4152
45081	103
